name,row,column,x,y
1075.png,1,0,261,226
1075.png,1,1,301,228
1075.png,1,2,389,228
1075.png,2,0,258,293
1075.png,2,1,347,295
1075.png,2,2,386,293
1076.png,0,0,263,161
1076.png,0,1,350,164
1076.png,0,2,390,163
1076.png,1,0,261,226
1076.png,1,1,301,228
1076.png,1,2,389,228
1076.png,2,0,258,293
1076.png,2,1,347,295
1076.png,2,2,385,293
1077.png,0,0,263,161
1077.png,0,1,350,164
1077.png,0,2,390,163
1077.png,1,0,261,226
1077.png,1,1,301,228
1077.png,1,2,389,228
1077.png,2,0,258,293
1077.png,2,1,347,295
1077.png,2,2,385,293
1078.png,0,0,263,161
1078.png,0,1,350,164
1078.png,0,2,390,163
1078.png,1,0,261,226
1078.png,1,1,301,228
1078.png,1,2,389,228
1078.png,2,0,258,293
1078.png,2,1,347,295
1078.png,2,2,385,293
1079.png,0,0,263,161
1079.png,0,1,350,164
1079.png,0,2,391,164
1079.png,1,0,261,226
1079.png,1,1,302,228
1079.png,1,2,389,228
1079.png,2,0,258,293
1079.png,2,1,347,295
1079.png,2,2,385,294
108.png,0,0,281,165
108.png,0,1,318,168
108.png,0,2,409,179
108.png,1,0,274,228
108.png,1,1,363,241
108.png,1,2,400,244
108.png,2,0,265,296
108.png,2,1,303,299
108.png,2,2,394,310
1080.png,0,0,263,161
1080.png,0,1,350,164
1080.png,0,2,391,164
1080.png,1,0,261,226
1080.png,1,1,302,228
1080.png,1,2,389,228
1080.png,2,0,258,293
1080.png,2,1,347,295
1080.png,2,2,385,294
1081.png,0,0,263,161
1081.png,0,1,350,164
1081.png,0,2,391,164
1081.png,1,0,261,226
1081.png,1,1,302,228
1081.png,1,2,389,228
1081.png,2,0,258,293
1081.png,2,1,347,295
1081.png,2,2,385,294
1082.png,0,0,263,161
1082.png,0,1,350,164
1082.png,0,2,391,164
1082.png,1,0,261,226
1082.png,1,1,302,228
1082.png,1,2,389,228
1082.png,2,0,258,293
1082.png,2,1,347,295
1082.png,2,2,385,294
1083.png,0,0,263,161
1083.png,0,1,350,164
1083.png,0,2,391,164
1083.png,1,0,261,226
1083.png,1,1,302,228
1083.png,1,2,389,228
1083.png,2,0,258,293
1083.png,2,1,347,295
1083.png,2,2,385,294
1084.png,0,0,263,161
1084.png,0,1,350,164
1084.png,0,2,391,164
1084.png,1,0,261,226
1084.png,1,1,302,228
1084.png,1,2,389,228
1084.png,2,0,258,293
1084.png,2,1,347,295
1084.png,2,2,385,294
1085.png,0,0,263,161
1085.png,0,1,350,164
1085.png,0,2,391,164
1085.png,1,0,261,226
1085.png,1,1,302,228
1085.png,1,2,389,228
1085.png,2,0,258,293
1085.png,2,1,347,295
1085.png,2,2,385,294
1086.png,0,0,263,161
1086.png,0,1,350,164
1086.png,0,2,391,164
1086.png,1,0,261,226
1086.png,1,1,302,228
1086.png,1,2,389,228
1086.png,2,0,258,293
1086.png,2,1,347,295
1086.png,2,2,385,294
1087.png,0,0,263,161
1087.png,0,1,350,164
1087.png,0,2,391,164
1087.png,1,0,261,226
1087.png,1,1,302,228
1087.png,1,2,389,229
1087.png,2,0,258,293
1087.png,2,1,347,295
1087.png,2,2,386,294
1088.png,0,0,263,161
1088.png,0,1,350,164
1088.png,0,2,391,164
1088.png,1,0,261,226
1088.png,1,1,302,228
1088.png,1,2,389,229
1088.png,2,0,258,293
1088.png,2,1,347,295
1088.png,2,2,386,294
1089.png,0,0,263,161
1089.png,0,1,350,164
1089.png,0,2,391,164
1089.png,1,0,261,226
1089.png,1,1,302,228
1089.png,1,2,389,229
1089.png,2,0,258,293
1089.png,2,1,347,295
1089.png,2,2,386,294
109.png,0,0,281,165
109.png,0,1,318,168
109.png,0,2,409,179
109.png,1,0,274,228
109.png,1,1,363,240
109.png,1,2,400,244
109.png,2,0,265,295
109.png,2,1,303,299
109.png,2,2,388,309
1090.png,0,0,264,161
1090.png,0,1,350,164
1090.png,0,2,391,164
1090.png,1,0,261,225
1090.png,1,1,302,228
1090.png,1,2,389,229
1090.png,2,0,259,293
1090.png,2,1,347,295
1090.png,2,2,386,294
1091.png,0,0,264,161
1091.png,0,1,350,164
1091.png,0,2,391,164
1091.png,1,0,261,225
1091.png,1,1,302,228
1091.png,1,2,389,229
1091.png,2,0,259,293
1091.png,2,1,347,295
1091.png,2,2,386,294
1092.png,0,0,264,161
1092.png,0,1,350,164
1092.png,0,2,391,164
1092.png,1,0,261,225
1092.png,1,1,302,228
1092.png,1,2,389,229
1092.png,2,0,259,293
1092.png,2,1,347,295
1092.png,2,2,386,294
1093.png,0,0,264,161
1093.png,0,1,350,164
1093.png,0,2,391,164
1093.png,1,0,261,225
1093.png,1,1,302,228
1093.png,1,2,389,229
1093.png,2,0,259,293
1093.png,2,1,347,295
1093.png,2,2,386,294
1094.png,0,0,264,161
1094.png,0,1,350,164
1094.png,0,2,391,164
1094.png,1,0,261,226
1094.png,1,1,302,228
1094.png,1,2,388,229
1094.png,2,0,259,293
1094.png,2,1,347,295
1094.png,2,2,400,293
1095.png,0,0,264,161
1095.png,0,1,350,164
1095.png,0,2,391,164
1095.png,1,0,261,226
1095.png,1,1,302,228
1095.png,1,2,388,229
1095.png,2,0,259,293
1095.png,2,1,347,295
1095.png,2,2,400,293
1096.png,0,0,264,161
1096.png,0,1,350,164
1096.png,0,2,391,164
1096.png,1,0,261,226
1096.png,1,1,302,228
1096.png,1,2,388,229
1096.png,2,0,259,293
1096.png,2,1,347,295
1096.png,2,2,400,293
1097.png,0,0,264,161
1097.png,0,1,350,164
1097.png,0,2,391,164
1097.png,1,0,261,226
1097.png,1,1,302,228
1097.png,1,2,388,229
1097.png,2,0,259,293
1097.png,2,1,347,295
1097.png,2,2,400,293
1098.png,0,0,264,161
1098.png,0,1,349,164
1098.png,0,2,390,164
1098.png,1,0,261,226
1098.png,1,1,303,228
1098.png,1,2,389,229
1098.png,2,0,259,293
1098.png,2,1,346,295
1098.png,2,2,399,293
1099.png,0,0,264,161
1099.png,0,1,349,164
1099.png,0,2,390,164
1099.png,1,0,261,226
1099.png,1,1,303,228
1099.png,1,2,389,229
1099.png,2,0,259,293
1099.png,2,1,346,295
1099.png,2,2,399,293
11.png,0,0,283,165
11.png,0,1,314,168
