name,row,column,x,y
40,0,2,410,180
40,1,0,275,228
40,1,1,368,241
40,1,2,401,244
40,2,0,266,295
40,2,1,300,298
40,2,2,393,309
41,0,0,282,165
41,0,1,317,168
41,0,2,410,180
41,1,0,275,228
41,1,1,368,241
41,1,2,401,244
41,2,0,266,295
41,2,1,300,298
41,2,2,393,309
42,0,0,282,165
42,0,1,317,168
42,0,2,410,179
42,1,0,275,228
42,1,1,367,241
42,1,2,401,243
42,2,0,266,295
42,2,1,300,298
42,2,2,392,309
43,0,0,282,165
43,0,1,317,168
43,0,2,410,179
43,1,0,275,228
43,1,1,367,241
43,1,2,401,243
43,2,0,266,295
43,2,1,300,298
43,2,2,392,309
44,0,0,282,165
44,0,1,317,168
44,0,2,410,179
44,1,0,275,228
44,1,1,367,241
44,1,2,401,243
44,2,0,266,295
44,2,1,300,298
44,2,2,392,309
45,0,0,282,165
45,0,1,317,168
45,0,2,410,179
45,1,0,275,228
45,1,1,367,241
45,1,2,401,243
45,2,0,266,295
45,2,1,300,298
45,2,2,392,309
46,0,0,282,165
46,0,1,317,168
46,0,2,410,179
46,1,0,276,228
46,1,1,367,241
46,1,2,401,243
46,2,0,266,295
46,2,1,301,298
46,2,2,392,309
47,0,0,282,165
47,0,1,317,168
47,0,2,410,179
47,1,0,276,228
47,1,1,367,241
47,1,2,401,243
47,2,0,266,295
47,2,1,301,298
47,2,2,392,309
48,0,0,282,165
48,0,1,317,168
48,0,2,410,179
48,1,0,276,228
48,1,1,367,241
48,1,2,401,243
48,2,0,266,295
48,2,1,301,298
48,2,2,392,309
49,0,0,282,165
49,0,1,317,168
49,0,2,410,179
49,1,0,276,228
49,1,1,367,241
49,1,2,401,243
49,2,0,266,295
49,2,1,301,298
49,2,2,392,309
50,0,0,282,165
50,0,1,317,168
50,0,2,410,179
50,1,0,276,228
50,1,1,366,241
50,1,2,401,243
50,2,0,265,295
50,2,1,301,298
50,2,2,392,309
51,0,0,282,165
51,0,1,317,168
51,0,2,410,179
51,1,0,276,228
51,1,1,366,241
51,1,2,401,243
51,2,0,265,295
51,2,1,301,298
51,2,2,392,309
52,0,0,282,165
52,0,1,317,168
52,0,2,410,179
52,1,0,276,228
52,1,1,366,241
52,1,2,401,243
52,2,0,265,295
52,2,1,301,298
52,2,2,392,309
53,0,0,282,165
53,0,1,317,168
53,0,2,410,179
53,1,0,276,228
53,1,1,366,241
53,1,2,400,244
53,2,0,265,295
53,2,1,300,298
53,2,2,392,309
54,0,0,282,165
54,0,1,317,168
54,0,2,410,179
54,1,0,276,228
54,1,1,366,241
54,1,2,400,244
54,2,0,265,295
54,2,1,300,298
54,2,2,392,309
55,0,0,282,165
55,0,1,317,168
55,0,2,410,179
55,1,0,276,228
55,1,1,366,241
55,1,2,400,244
55,2,0,265,295
55,2,1,300,298
55,2,2,392,309
56,0,0,282,165
56,0,1,317,168
56,0,2,410,179
56,1,0,276,228
56,1,1,366,241
56,1,2,400,244
56,2,0,265,295
56,2,1,300,298
56,2,2,392,309
57,0,0,282,165
57,0,1,317,168
57,0,2,410,179
57,1,0,276,228
57,1,1,366,241
57,1,2,400,243
57,2,0,265,295
57,2,1,300,298
57,2,2,392,309
58,0,0,282,165
58,0,1,317,168
58,0,2,410,179
58,1,0,276,228
58,1,1,366,241
58,1,2,400,243
58,2,0,265,295
58,2,1,300,298
58,2,2,392,309
59,0,0,282,165
59,0,1,317,168
59,0,2,410,179
59,1,0,276,228
59,1,1,366,241
59,1,2,400,243
59,2,0,265,295
59,2,1,300,298
59,2,2,392,309
60,0,0,282,165
60,0,1,317,168
60,0,2,409,179
60,1,0,275,228
60,1,1,365,241
60,1,2,400,243
60,2,0,265,295
60,2,1,301,298
60,2,2,391,310
61,0,0,282,165
61,0,1,317,168
61,0,2,409,179
61,1,0,275,228
61,1,1,365,241
61,1,2,400,243
61,2,0,265,295
61,2,1,301,298
61,2,2,391,310
62,0,0,282,165
62,0,1,317,168
62,0,2,409,179
62,1,0,275,228
62,1,1,365,241
62,1,2,400,243
62,2,0,265,295
62,2,1,301,298
62,2,2,391,310
63,0,0,282,165
63,0,1,317,168
63,0,2,409,179
63,1,0,275,228
63,1,1,365,241
63,1,2,400,243
63,2,0,265,295
63,2,1,301,298
63,2,2,391,310
64,0,0,281,165
64,0,1,317,168
64,0,2,409,179
64,1,0,275,228
64,1,1,365,241
64,1,2,400,243
64,2,0,265,295
64,2,1,301,299
64,2,2,391,310
65,0,0,281,165
65,0,1,317,168
65,0,2,409,179
65,1,0,275,228
65,1,1,365,241
65,1,2,400,243
65,2,0,265,295
65,2,1,301,299
65,2,2,391,310
66,0,0,281,165
66,0,1,317,168
66,0,2,409,179
66,1,0,275,228
66,1,1,365,241
66,1,2,400,243
66,2,0,265,295
66,2,1,301,299
66,2,2,391,310
67,0,0,281,165
67,0,1,317,168
67,0,2,409,179
67,1,0,275,228
67,1,1,365,241
67,1,2,400,243
67,2,0,264,295
67,2,1,301,299
67,2,2,391,310
68,0,0,281,165
68,0,1,317,168
68,0,2,409,179
68,1,0,275,228
68,1,1,365,241
68,1,2,400,243
68,2,0,264,295
68,2,1,301,299
68,2,2,391,310
69,0,0,281,165
69,0,1,317,168
69,0,2,409,179
69,1,0,275,228
69,1,1,365,241
69,1,2,400,243
69,2,0,264,295
69,2,1,301,299
69,2,2,391,310
70,0,0,281,165
70,0,1,317,168
70,0,2,409,179
70,1,0,275,228
70,1,1,365,241
70,1,2,400,243
70,2,0,264,295
70,2,1,301,299
70,2,2,391,310
71,0,0,281,165
71,0,1,318,168
71,0,2,409,179
71,1,0,274,228
71,1,1,364,241
71,1,2,400,243
71,2,0,265,295
71,2,1,302,299
71,2,2,392,309
72,0,0,281,165
72,0,1,318,168
72,0,2,409,179
72,1,0,274,228
72,1,1,364,241
72,1,2,400,243
72,2,0,265,295
72,2,1,302,299
72,2,2,392,309
73,0,0,281,165
73,0,1,318,168
73,0,2,409,179
73,1,0,274,228
73,1,1,364,241
73,1,2,400,243
73,2,0,265,295
73,2,1,302,299
73,2,2,392,309
74,0,0,281,165
74,0,1,318,168
